,Survey,StartDate,EndDate,Progress,Duration,Finished,Courses,Consent1,Consent2,A1,A2,A3,A4,R1,Major,Year,Sex,VSD,NUPath,Philosophy,ID,course,course_name,crit_1,crit_2,crit_3,crit_4,crit_6,crit_7,crit_5,is_not_null
78,Pre-Module_Fl21_CS4100-2_Wong,10/28/21 17:29,10/28/21 17:37,100,529,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,3,2,2,2,5,Computer Science,2,Male,No,SOCL 4528: Computers and Society,Yes,A72,cs4100,CS4100-2,True,True,True,True,True,True,True,True
79,Pre-Module_Fl21_CS4100-2_Wong,10/28/21 17:45,10/28/21 17:48,100,149,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,4,2,5,5,Computer Science,3,Male,Yes,PHIL 1145: Technology and Human Values,No,A431,cs4100,CS4100-2,True,True,True,True,True,True,True,True
80,Pre-Module_Fl21_CS4100-2_Wong,10/28/21 20:59,10/28/21 21:01,100,131,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,3,5,1,5,2,computer science + math,3,Female,No,"INSH 2102: Bostonography: The City through Data, Texts, Maps, and Networks",No,A333,cs4100,CS4100-2,True,True,True,True,True,True,True,True
82,Pre-Module_Fl21_CS4100-2_Wong,10/28/21 22:26,10/28/21 22:28,100,123,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,3,4,1,5,5,Computer Science,3,Male,No,"None, or I'm not sure",No,A308,cs4100,CS4100-2,True,True,True,True,True,True,True,True
83,Pre-Module_Fl21_CS4100-2_Wong,10/28/21 23:08,10/28/21 23:10,100,90,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,4,2,4,4,Computer Science,2,Male,No,HIST 2220: History of Technology,Yes,A390,cs4100,CS4100-2,True,True,True,True,True,True,True,True
84,Pre-Module_Fl21_CS4100-2_Wong,10/28/21 23:09,10/28/21 23:11,100,114,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,5,2,5,3,Computer Science,2,Male,No,PHIL 1145: Technology and Human Values,No,A311,cs4100,CS4100-2,True,True,True,True,True,True,True,True
85,Pre-Module_Fl21_CS4100-2_Wong,10/28/21 23:25,10/28/21 23:29,100,196,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,4,1,4,4,Computer Science,3,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A373,cs4100,CS4100-2,True,True,True,True,True,True,True,True
86,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 0:22,10/29/21 0:24,100,153,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,5,1,5,5,Computer Science,3,Male,No,"None, or I'm not sure",No,A171,cs4100,CS4100-2,True,True,True,True,True,True,True,True
87,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 2:43,10/29/21 2:45,100,128,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,5,1,5,4,Computer Science and Business ,5+,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A324,cs4100,CS4100-2,True,True,True,True,True,True,True,True
89,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 9:23,10/29/21 9:25,100,106,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,3,5,1,5,2,Computer Science and Economics,3,Male,I'm not sure,"None, or I'm not sure",Yes,A353,cs4100,CS4100-2,True,True,True,True,True,True,True,True
92,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 10:46,10/29/21 10:48,100,101,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,2,4,4,4,2,Computer Science,2,Male,Yes,PHIL 1145: Technology and Human Values,No,A382,cs4100,CS4100-2,True,True,True,True,True,True,True,True
96,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 11:22,10/29/21 11:23,100,111,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,5,2,5,2,Computer Science/ Music Technology,3,Male,No,"None, or I'm not sure",No,A189,cs4100,CS4100-2,True,True,True,True,True,True,True,True
98,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 11:45,10/29/21 11:48,100,167,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,3,5,2,5,2,Computer Science,3,Female,I'm not sure,PHIL 1145: Technology and Human Values,No,A51,cs4100,CS4100-2,True,True,True,True,True,True,True,True
102,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 12:21,10/29/21 12:26,100,295,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,5,4,5,2,Computer Science and Mathematics,2,Female,I'm not sure,"None, or I'm not sure",No,A319,cs4100,CS4100-2,True,True,True,True,True,True,True,True
103,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 12:05,10/29/21 12:28,100,1381,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,3,4,4,5,2,Computer Science,3,Male,Yes,PHIL 1145: Technology and Human Values,No,A11,cs4100,CS4100-2,True,True,True,True,True,True,True,True
104,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 12:31,10/29/21 12:32,100,71,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,4,1,4,5,Computer Science & Mathematics,2,Male,No,PHIL 1145: Technology and Human Values,Yes,A182,cs4100,CS4100-2,True,True,True,True,True,True,True,True
105,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 12:14,10/29/21 12:48,100,2011,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,4,2,4,5,Computer Science,2,Other,I'm not sure,IS 1300/PHIL 1300: Knowledge in a Digital World,No,A334,cs4100,CS4100-2,True,True,True,True,True,True,True,True
107,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 12:47,10/29/21 12:50,100,186,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,3,5,2,4,4,Computer Science,2,Male,No,SOCL 4528: Computers and Society,No,A281,cs4100,CS4100-2,True,True,True,True,True,True,True,True
